number of iteration,porosity of sampling region,number of particles in the sampling region,number of particles in the domain
-,-,-,-
10000,0.64561712369367,1015,2000
20000,0.618168616209947,1087,2000
30000,0.581033940133968,1193,2000
40000,0.531883179236788,1326,1999
50000,0.475899742656964,1495,1996
60000,0.401708927007107,1677,1995
70000,0.361812383940633,1824,1998
80000,0.356026861619315,1850,2000
90000,0.355398569602519,1856,1998
100000,0.354874992921856,1861,2000
110000,0.354874992921856,1861,1999
120000,0.354560846913459,1864,2000
130000,0.354456131577326,1865,2000
140000,0.354351416241194,1866,2000
150000,0.354246700905063,1867,2000
